# Sample Book. quantity = signed face amount in USD (negative = short).
positionId,instrumentId,quantity
P01,91282CRH6,10000000
P02,91282CRG8,5000000
P03,91282CRK9,-7500000
P04,91282CRJ2,-4000000
P05,91282CRF0,8000000
P06,91282CRF0,3000000
P07,912810UX4,2000000
P08,912810UW6,4000000
P09,ZNZ6,-6000000
P10,ZFZ6,4000000
P11,ACME-4.85-2031,5000000
P12,ACME-5.30-2036,3000000
P13,BOREAL-5.10-2029,4000000
P14,CASCADE-4.95-2030,-2000000
P15,DELMAR-5.60-2032,3000000
P16,IRS-5Y-PAY,20000000
P17,IRS-10Y-REC,15000000
# FX Forwards: quantity is the notional in the Instrument's Notional Currency, EUR then USD.
P18,FXF-EURUSD-3M,10000000
P19,NDF-USDKRW-1M,5000000
